date,case
02-15,29
02-16,1
02-17,1
02-18,1
02-19,20
02-20,53
02-21,100
02-22,229
02-23,169
02-24,231
02-25,144
02-26,284
02-27,505
02-28,571
02-29,813
03-01,805
03-02,476
03-03,600
03-04,516
03-05,438
03-06,518
03-07,483
03-08,367
03-09,248
03-10,131
03-11,242
03-12,114
03-13,110
03-14,107
03-15,76
03-16,74
03-17,84
03-18,93
03-19,152
03-20,87
03-21,147
03-22,98
03-23,64
03-24,76
03-25,100
03-26,104
03-27,91
03-28,146
03-29,105
03-30,78
03-31,125
04-01,101
04-02,89
04-03,86
04-04,94
04-05,81
04-06,47
04-07,47
04-08,53
04-09,39
04-10,27
04-11,30
04-12,32
04-13,25
04-14,27
04-15,27
04-16,22
04-17,22
04-18,18
04-19,8
04-20,13
04-21,9
04-22,11
04-23,8
04-24,6
04-25,10
04-26,10
04-27,10
04-28,14
04-29,9
04-30,4
05-01,9
05-02,6
05-03,13
05-04,8
05-05,3
05-06,2
05-07,4
05-08,12
05-09,18
05-10,34
05-11,35
05-12,27
05-13,26
05-14,29
05-15,27
05-16,19
05-17,13
05-18,15
05-19,13
05-20,32
05-21,12
05-22,20
05-23,23
05-24,25
05-25,16
05-26,19
05-27,40
05-28,79
05-29,58
05-30,39
05-31,27
06-01,35
06-02,38
06-03,49
06-04,39
06-05,39
06-06,51
06-07,57
06-08,38
06-09,38
06-10,50
06-11,45
06-12,55
06-13,49
06-14,33
06-15,37
06-16,34
06-17,43
06-18,59
06-19,49
06-20,67
06-21,48
06-22,17
06-23,46
06-24,51
06-25,28
06-26,39
06-27,51
06-28,62
06-29,42
06-30,43
07-01,51
07-02,54
07-03,63
07-04,63
07-05,61
07-06,48
07-07,44
07-08,63
07-09,50
07-10,45
07-11,35
07-12,44
07-13,62
07-14,33
07-15,39
07-16,61
07-17,60
07-18,39
07-19,34
07-20,26
07-21,45
07-22,63
07-23,59
07-24,41
07-25,113
07-26,58
07-27,25
07-28,28
07-29,48
07-30,18
07-31,36
08-01,31
08-02,30
08-03,23
08-04,34
08-05,33
08-06,43
08-07,20
08-08,43
08-09,36
08-10,28
08-11,34
08-12,54
08-13,56
08-14,103
08-15,166
08-16,279
08-17,197
08-18,246
08-19,297
08-20,288
08-21,324
08-22,332
08-23,397
08-24,266
08-25,280
08-26,320
08-27,441
08-28,371
08-29,323
08-30,299
08-31,248
09-01,235
09-02,267
09-03,195
09-04,198
09-05,168
09-06,167
09-07,119
09-08,136
09-09,156
09-10,155
09-11,176
09-12,136
09-13,121
09-14,109
09-15,106
09-16,113
09-17,153
09-18,126
09-19,110
09-20,82
09-21,70
09-22,61
09-23,110
09-24,125
09-25,114
09-26,61
09-27,95
09-28,50
09-29,38
09-30,113
10-01,77
10-02,63
10-03,75
10-04,64
10-05,73
10-06,75
10-07,114
10-08,69
10-09,54
10-10,72
10-11,57
10-12,98
10-13,102
10-14,84
10-15,110
10-16,47
10-17,73
10-18,91
10-19,76
10-20,58
10-21,91
10-22,121
10-23,155
10-24,77
10-25,61
10-26,119
10-27,88
10-28,103
10-29,125
10-30,113
10-31,127
11-01,124
11-02,97
11-03,75
11-04,118
11-05,125
11-06,145
11-07,89
11-08,143
11-09,126
11-10,100
11-11,146
11-12,143
11-13,191
11-14,205
11-15,208
11-16,223
11-17,230
11-18,313
11-19,343
11-20,363
11-21,386
11-22,330
11-23,271
11-24,349
11-25,382
11-26,583
11-27,569
11-28,504
11-29,450
11-30,438
12-01,451
12-02,511
12-03,540
12-04,629
12-05,583
12-06,631
12-07,615
12-08,594
12-09,686
12-10,682
12-11,689
12-12,950
12-13,1030
12-14,718
12-15,880
12-16,1078
12-17,1014
12-18,1062
12-19,1053
12-20,1097
12-21,926
12-22,869
12-23,1092
12-24,985
12-25,1241
12-26,1132
12-27,970
12-28,808
12-29,1046
12-30,1050
12-31,967
01-01,1029
01-02,824
01-03,657
01-04,1020
01-05,715
01-06,840
01-07,870
01-08,674
01-09,641
01-10,665
01-11,451
01-12,537
01-13,562
01-14,524
01-15,513
01-16,580
01-17,520
01-18,389
01-19,386
01-20,404
01-21,401
01-22,346
01-23,431
01-24,392
01-25,437
01-26,354
01-27,559
01-28,497
01-29,469
01-30,458
01-31,355
02-01,305
02-02,336
02-03,467
02-04,451
02-05,370
02-06,393
02-07,372
02-08,289
02-09,303
02-10,444
02-11,504
02-12,403
02-13,362
02-14,326
02-15,344
02-16,457
02-17,621
02-18,621
02-19,561
02-20,448
02-21,416
02-22,332
02-23,357
02-24,440
02-25,396
02-26,406
02-27,415
02-28,356
03-01,355
03-02,344
03-03,444
03-04,424
03-05,398
03-06,418
03-07,416
03-08,346
03-09,446
03-10,470
03-11,465
03-12,488
03-13,490
03-14,459
03-15,382
03-16,363
03-17,469
03-18,445
03-19,463
03-20,452
03-21,456
03-22,415
03-23,346
03-24,428
03-25,430
03-26,494
03-27,505
03-28,482
03-29,384
03-30,447
03-31,506
04-01,551
04-02,558
04-03,543
04-04,543
04-05,473
04-06,478
04-07,668
04-08,700
04-09,671
04-10,677
04-11,614
04-12,587
04-13,542
04-14,731
04-15,698
04-16,673
04-17,658
04-18,672
04-19,532
