date_soccer,score_soccer,match_soccer,date_base,score_base,match_base,date_basket,score_basket,match_basket
05-08,1,1,04-21,36,5,09-20,364,2
05-09,6,3,04-22,18,2,09-21,323,2
05-10,6,2,04-23,20,2,09-22,337,2
05-16,7,3,04-24,21,2,09-23,311,2
05-17,6,3,04-25,25,4,09-24,376,2
05-22,3,1,04-27,54,5,09-25,190,1
05-23,4,3,04-28,39,5,09-26,364,2
05-24,4,2,05-01,61,5,09-27,175,1
05-29,2,1,05-05,39,5,10-09,554,3
05-30,3,3,05-06,39,5,10-10,728,4
05-31,6,2,05-07,57,5,10-11,506,3
06-05,3,1,05-08,63,5,10-12,178,1
06-06,11,3,05-09,24,2,10-13,164,1
06-07,4,2,05-10,71,5,10-14,161,1
06-13,12,4,05-12,52,5,10-15,144,1
06-14,10,2,05-13,56,5,10-16,143,1
06-16,8,3,05-14,35,5,10-17,499,3
06-17,8,3,05-15,48,4,10-18,618,4
06-20,5,3,05-16,52,5,10-19,162,1
06-21,6,3,05-17,59,5,10-20,170,1
06-26,2,1,05-19,77,5,10-21,170,1
06-27,6,3,05-20,30,5,10-22,182,1
06-28,3,2,05-21,57,5,10-23,141,1
07-04,17,3,05-22,57,5,10-24,523,3
07-05,11,3,05-23,54,5,10-25,619,4
07-10,2,1,05-24,53,5,10-26,191,1
07-11,8,3,05-26,28,5,10-27,146,1
07-12,9,2,05-27,55,5,10-28,160,1
07-18,6,3,05-28,40,5,10-29,145,1
07-19,4,3,05-29,43,5,10-30,141,1
07-25,7,3,05-30,64,5,10-31,482,3
07-26,8,3,05-31,84,5,11-01,700,4
08-01,10,3,06-02,58,5,11-02,156,1
08-02,8,3,06-03,62,5,11-03,134,1
08-07,2,1,06-04,63,5,11-04,183,1
08-08,4,3,06-05,45,5,11-05,152,1
08-09,4,2,06-06,43,5,11-06,150,1
08-14,2,1,06-07,34,5,11-07,498,3
08-15,9,3,06-09,53,5,11-08,664,4
08-16,5,2,06-10,39,4,11-09,149,1
08-22,4,4,06-11,58,5,11-10,154,1
08-23,6,2,06-12,26,4,11-11,154,1
08-29,8,2,06-13,58,5,11-12,161,1
08-30,19,4,06-14,65,6,11-13,181,1
09-04,1,1,06-16,55,5,11-14,495,3
09-05,9,3,06-17,47,5,11-15,596,4
09-06,7,2,06-18,39,4,11-16,131,1
09-12,8,3,06-19,61,5,11-17,141,1
09-13,6,3,06-20,46,5,11-18,149,1
09-15,4,2,06-21,51,5,11-19,312,2
09-16,9,4,06-23,51,5,12-02,171,1
09-20,15,6,06-24,5,1,12-03,139,1
09-26,4,1,06-25,87,7,12-04,173,1
09-27,21,5,06-26,54,5,12-05,506,3
10-02,5,1,06-27,36,5,12-06,650,4
10-03,2,2,06-28,32,5,12-07,189,1
10-04,7,3,06-30,43,4,12-08,151,1
10-16,4,1,07-01,58,5,12-09,161,1
10-17,4,2,07-02,56,5,12-10,128,1
10-18,9,3,07-03,45,5,12-11,173,1
10-23,3,1,07-04,62,5,12-12,520,3
10-24,5,2,07-05,58,5,12-13,628,4
10-25,7,3,07-07,62,5,12-15,331,2
10-31,7,3,07-08,50,5,12-16,121,1
11-01,9,3,07-09,44,5,12-17,151,1
02-27,4,2,07-10,68,5,12-18,145,1
02-28,4,2,07-11,57,5,12-19,486,3
03-01,5,2,07-13,22,2,12-20,583,4
03-06,10,4,07-14,44,5,12-21,162,1
03-07,4,2,07-15,49,5,12-22,165,1
03-09,8,3,07-16,61,5,12-23,177,1
03-10,6,3,07-17,66,5,12-24,161,1
03-13,7,4,07-18,29,5,12-25,330,2
03-14,5,2,07-19,40,5,12-26,449,3
03-16,5,2,07-21,64,5,12-27,473,3
03-17,11,4,07-22,3,1,12-28,165,1
03-20,4,2,07-24,31,4,12-29,159,1
03-21,11,4,07-25,37,4,12-30,151,1
04-02,0,1,07-26,49,5,12-31,156,1
04-03,6,3,07-28,59,3,01-01,285,3
04-04,6,2,07-29,36,2,01-02,287,3
04-06,4,2,07-30,31,4,01-03,485,3
04-07,9,4,07-31,50,5,01-04,157,1
04-10,8,3,08-01,87,5,01-05,178,1
04-11,9,3,08-02,25,3,01-06,168,1
04-17,8,4,08-04,43,4,01-07,157,1
04-18,0,2,08-05,42,4,01-08,172,1
,,,08-06,41,4,01-09,486,3
,,,08-07,21,3,01-10,628,4
,,,08-08,19,4,01-11,169,1
,,,08-09,21,3,01-12,285,2
,,,08-11,38,4,01-13,308,2
,,,08-12,61,5,01-16,175,1
,,,08-13,47,5,01-19,146,1
,,,08-14,52,5,01-20,120,1
,,,08-15,49,5,01-21,144,1
,,,08-16,43,5,01-22,182,1
,,,08-18,49,5,01-23,493,3
,,,08-19,73,5,01-24,618,4
